Kapitelnummer,Position im Kapitel,work id,Datum (Korrekturhilfe),Dateipfad (Korrekturhilfe)
1.1.1,,,,
,10,work01152,,/korrigiert/bd1/001_Werke/001_Lyrik/001_Buchpublikationen/001_LisasSchatten.xml
,20,work01159,,/korrigiert/bd1/001_Werke/001_Lyrik/001_Buchpublikationen/002_ohneTitel.xml
,30,work01160,,/korrigiert/bd1/001_Werke/001_Lyrik/001_Buchpublikationen/003_ohneTitel.xml
,40,work01161,,/korrigiert/bd1/001_Werke/001_Lyrik/001_Buchpublikationen/004_endegedichte19661968.xml
,50,work01162,,/korrigiert/bd1/001_Werke/001_Lyrik/001_Buchpublikationen/005_endegedichteaus19661.xml
,60,work01163,,/korrigiert/bd1/001_Werke/001_Lyrik/001_Buchpublikationen/006_endegedichtevon19661.xml
,70,work01164,,/korrigiert/bd1/001_Werke/001_Lyrik/001_Buchpublikationen/007_koniecende.xml
,80,work01167,,/korrigiert/bd1/001_Werke/001_Lyrik/001_Buchpublikationen/008_GesammelteGedichtePo.xml
,90,work01165,,/korrigiert/bd1/001_Werke/001_Lyrik/001_Buchpublikationen/009_Poemas.xml
1.1.2,,,,
,10,work00354,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/001_EREIGNIS.xml
,20,work00616,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/002_MOUREZPARMILAVOIXTERRIBLEDELAMOURverlaine.xml
,30,work00996,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/003_TRAUM.xml
,40,work00173,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/004_DERKUSS.xml
,50,work00261,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/005_DIENACHTLISA.xml
,60,work00207,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/006_desherbstnachts.xml
,70,work00441,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/007_HERBST.xml
,80,work00099,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/008_Dansonslagigueverlaine.xml
,90,work00085,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/009_Chansonfürmeinentotengeliebten.xml
,100,work00445,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/010_Heutenacht.xml
,110,work00260,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/011_Dienachtigall.xml
,120,work00042,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/012_Anwenige.xml
,130,work00541,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/013_KlageGedicht.xml
,140,work00187,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/014_Dertänzerrudolfnurejew.xml
,150,work00973,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/015_sweetsweetamaryllis.xml
,160,work00957,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/016_spielmitgroßvater.xml
,170,work01090,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/017_wettlauf.xml
,180,work00956,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/018_SPIEL2.xml
,190,work01029,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/019_UNSERMOTORRAD.xml
,200,work01097,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/020_wiesiesichgegenüberstandenprachtvolleflurwächterdiezwei.xml
,210,work01041,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/021_verachtung.xml
,220,work00401,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/022_frühling.xml
,230,work00953,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/023_sommer.xml
,240,work01048,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/024_vogelherbst.xml
,250,work00033,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/025_anrimbaud.xml
,260,work01099,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/025_winter.xml
