0_000_00_Ref Nr,APIS,BUDA RefNR to add to http://purl.bdrc.io/resource/,KDSB Set,KDSB vol,KDSB txt Nr,PP in KDSB,No of folios,Category=Subject (vocabulary) -> for APIS,Category (for team's orientation),Signature: letter indicating category,Signature: number indicating bundle,Drepung catalogue no,provenance and/or catalogue number (if not Drepung),Author's name (generic/as attested in manuscript),Author BDRC/BUDA ID,Author's dates,Title dkar chag KDSB/editorial/attested,Sanskrit title,Commentary on (sDe dge ref),Script,"mss proofread by scribe or later reader, indication on the mss A(bsent), P(resent), TBD (by defautl, to be determined; if blank=TBD)",Transkribus,Etext main txt,Marginal notes,Etext loc/origin,TEI doc w. tagged excerpts,Priority,Status of importance,Remark,Topics of interest (in addition to txt subject),Amount of references to views of Tibetan scholars/Number of names,SB - Author KDSB dkar chag check,SB Author (systematic network research done),Contents marked up (mss or etxt),TEI markup,Colophon marked up in etxt and harvest,Amount of data in colophon,place of composition,place of scribing/copy,Place names in colophons,Date in colophons,Scribe,Owner,dpe cha,Etext input by,"Additional e-text metadata/
comments",Drawings
1_001_01,,MW1PD89051_265FDF,1,1,1,33-35,2,eulogy,eulogy,,,7506?,,Lo chen Rin chen bzang po,P753,958-1055,dPal 'khor lo bde mchog 1ū i pa'i bstod pa yid bzhin nor bu,,,,A,T,Complete. Proofread,no,"TibSchol complete, Gateway",,Discard,Discard - not pertinent,,nothing pertinent,0,,,etxt markup completed (PH),done,,"author, title",,,,,,,,PH with ref. to Kawasaki 2007,,
1_001_02,,MW1PD89051_389D18,1,1,2,37-40,2,consecration,consecration,ma,721,010304 prime,,Lo chen Rin chen bzang po,P753,958-1055,Rab tu gnas pa,,,,A,,Complete (with glosses). Proofread,yes,"TibSchol complete, Gateway",,Discard,Discard - not pertinent,"nothing thematically pertinent for Tibschol, but mss ownership and rare case of two witnesses with different set of notes (see 1_001_04 which has bi bites).",nothing pertinent,0,,,etxt markup completed (PH),done,,author,,,,,,dGe bar byed pa,,PH with ref. to Kawasaki 2008,See Kawasaki 2007: 230–233 for critical editing of interlinear glosses and collation of the main text with the reading of 1_001_4,
1_001_03,,MW1PD89051_DD64FE,1,1,3,45-70,13,,Cakrasaṃvara,kha,77,1993,,Atisha/Lo chen Rin chen bzang po,P753,958-1055,mNgon par rtogs pa'i dka' gnad,,D1498,,A,T,Complete. Proofread,no,TibSchol complete,,Discard,Discard - not pertinent,nothing thematically pertinent for Tibschol; citations from Indian works only (many tantras). Interesting as genre - report of teaching. Reports teaching of Atisha on D1498,nothing pertinent,0,,,etxt markup completed (PH),done,,author,,,,,,,,PH; based on Kano&Kawasaki 2014,See Kano&Kawasaki 2014 for the critical edition,
1_001_04,,MW1PD89051_CC80D2,1,1,4,71-72,1,consecration,consecration,ma,927,12495,,Lo chen Rin chen bzang po,P753,958-1055,Cho ga bya tshul,,,,A,,Complete. Proofread,no,"TibSchol complete, Gateway",,Double txt,Other instance,same text as 1_001_02 without notes,nothing pertinent,0,,,etxt markup completed (PH),,,author,,,,,,,,PH; based on Kawasaki 2007,,
1_001_05,,MW1PD89051_E84B09,1,1,5,73-77,3,prayer,prayer,la,345,18712,,Lo chen Rin chen bzang po,P753,958-1055,bDe chen zhing gi smon lam,,,,A,,Complete (but with many characters not yet decyphered),no,"TibSchol complete, Gateway",,Discard,Discard - not pertinent,nothing thematically pertinent for TibSchol,nothing pertinent,0,,,etxt markup completed (PH),done,,"author, place",thon mthing gi gtsug lag khang,,thon mthing gi gtsug lag khang,,,,,"KK, PH",,
1_001_06,,MW1PD89051_1D065D,1,1,6,93-109,9,grammar/orthography,grammar/orthography,,,,Lhasa Bod ljongs dpe mdzod khang **8,rNgog Blo ldan shes rab ?,P2551,1059-1109,Dag yig nyer mkho bsdus pa,,,dbu can,P,,Complete. Proofread,no,"TibSchol complete, Gateway, Typeset",,Peri,Secondary,"txt on grammar/orthography. can be classified as « scholastic », but contains no pertinent features or themes. Unique ref. to anonymous kha cig. Authorship disputed by van der Kuijp. Gsung rten remark: Title page has number 398. Text has been proofread once (gcig zhus). The manuscript is stored in the Bod-ljongs-dpe-mdzod-khang, Lhasa.",,1,,,etxt markup completed (PH),done,,"author, title",,,,,,,"PH owns print photocopy of same mss (source unknown) where the chinese stamp is visible on the right of the title, and a cover page reports the catalogue number 004323(9) and has the title 43. rngo lo'i dag yig bsdus pa/ (sic) and below the tibetan 5 chinese characters.",PH,,
1_001_07,,MW1PD89051_555380,1,1,7,111-118,4,Perfection of wisdom,Prajñāpāramitā,tsha,41,15800,,rNgog Blo ldan shes rab,P2551,1059-1109,Shes rab snying po’i ‘grel ba,,D3818,,A,T,Complete. Proofread (some remaining problematic readings of the manuscript),no,"TibSchol complete, Gateway, Typeset, crit ed",,Core,Important,"Only a few ref. to anonymous Ind/Tib?
Lemmas from D3818 – Vimalamitra’s Prajñāpāramitāhṛdayaṭīkā. Is a ""bsdus don"" in the sense of ""concise guide"", not of ""topical outline"". Not a Drepung manuscript",dgos 'brel (P4),1-2?,,,etxt markup completed (PH),done,,"author, title",,,,,,,own scan available,PH; based on Gonta 2011,"See Gonta 2011 for normalization of orthography to the rules of classical Tibetan and the identification of the references to the base text, and Horiushi 2019 for a critical edition and editorial remarks",
1_001_08,,MW1PD89051_555380,1,1,8,125-201,39,Perfection of wisdom,Maitreya 1,tsha,41,15800,,rNgog Blo ldan shes rab,P2551,1059-1109,mNgon par rtogs pa'i rgyan 'grel rin po che'i sgron me. Colophon: shes rab kyi pha rol du phyin pa man ngag gi [b]stan bcos don bsdus pa,,D3893,bru,A,,Complete. References to folio and line number not complete. The notation of the block print variants in the body of the text is not exhaustive. ,no (just a few corrections in dbu can),"TibSchol complete, Gateway, Typeset",,Core,Very important,"dbu can blockprint of same work was published with Jackson intro, W1KG20635. Another blockprint (?), without a print colophon, was published in collection of old texts from bKra shis chos sdings (MW3MS878): MW3MS878_C82F3A. Cit from Indian works (stutras, MSA) but only two potential references to Tibetan views (kha cig)
Orthographic particularities (in particular, abbreviations) are reported systematically only up to 2b and from the conclusion onward
Lemmas from D3793 = Haribhadra’s AA-Vrtti. 
Earliest ASA-related Tibetan commentary
Without any questions, one of the earliest works on AA. No Tibetan authors were mentioned (LY). Drepung signature not visible on image. Drepung No. 15800 gives title sher phyin mngon rtogs rgyan 'grel ba dang bcas pa'i dka' 'grel rin po che'i sgron ma, 39 folios",mtshan nyid (P3),2,,,etxt markup completed (PH),done,,"title, author",,,,,,,own scan available,PH; based on BUDA (W1PD104832-I1KG5851) and rNgog chos skor,,
1_001_09,,MW1PD89051_BDDD19,1,1,9,203-252,24,Perfection of wisdom,Maitreya 2,tsha,60,15853,,rNgog Blo ldan shes rab,P2551,1059-1109,mDo sde rgyan gyi don bsdus,,D4020,bru,A,,"Complete. Marginal notes incomplete, folio/line numbering incomplete. Not proofread",no (only corrections),"TibSchol complete, Gateway, Typeset",,Core,Secondary,"linear bsdus don (concise guide) without extra citations nor debate with other views. Scribe was not very assiduous - a lot of mistakes - skipped words, dropped prefixes (some of which might reflect older orthography that a subsequent reader corrected but not systematically, eg.g. sdug (b)sngal)
Lemmas from : D4020. Work included in Don grub rgyal mtshan, ed., Legs par bshad pa bka' gdams rin po che'i gsunggi gces btus nor bu'i bang mdzod (Bir: Tsondu Senghe, 1985), pp. 153-154 (ref: Kramer 2007). Drepung 15853 corresponds in terms of title and No of folio, ut does not report an author.",,0,,,etxt markup completed (PH),done,,"title, author",,,,,,,own scan available,"Based on BUDA (UT1PD104832_001_0013) and rNgog chos skor; outline based on Matsuda 2014; emendations by KK, PH",,
1_001_10,,MW1PD89051_411055,1,1,10,258-281,13,Perfection of wisdom,Maitreya 3,tsha,116,,,rNgog Blo ldan shes rab,P2551,1059-1109,dBus mtha’i don bsdus,,D4021+D4027,,A,,Complete. Not proofread. Folio/line references incomplete,no,"TibSchol complete, Gateway, Typeset w. BUDA ocr",,Core,Important,"classical commentary (concise guide) with some longer explanations but no debate with other views
Lemma : MV-‘grel = D4027, Vasubandhu’s Madhyāntavibhagaṭīkā. We could not locate a matching entry with the corresponding signature in the ’Bras spungs dkar chag. The
catalogue lists 6 texts with the signature “phyi tsha 116,” all related to the Abhisamayālaṅkāra","2 truths, mtshan nyid (P3), gnyen po, 3 natures, med dgag",0,,,etxt markup completed (PH),in progress,,"title, author",,,,,,,own scan available,"Based on BUDA (UT1PD104832_001_0002) and rNgog chos skor; emendations by KK, PH",,
